S Quatratica; S1 Ackley; S2 Ackley
0.402300880683;0.0200864047075;0.0207417948879
0.401897971991;0.0202819655544;0.0202264959017
0.400371153915;0.0207604635065;0.022291517459
0.400664664009;0.0218184154533;0.0200446937824
0.400037743454;0.0204747418184;0.0201848138709
0.401330186111;0.0280629596661;0.0224901551253
0.403061742969;0.0211257697807;0.0253364728416
0.400682155938;0.0273095849864;0.0211589455237
0.401513808639;0.0268995098776;0.0215114167076
0.400998252373;0.020467301201;0.0227145022227
0.400907880754;0.0246766657419;0.0218968976268
0.404006633236;0.0229376114783;0.0221151822963
0.404855589205;0.0200123574778;0.0258343229481
0.405333994482;0.0217216941132;0.0210135282929
0.402275464235;0.0256689567739;0.0235678245182
0.403505543779;0.0213556925354;0.020215213931
0.400594424141;0.0261820290254;0.0226510646156
0.404762951488;0.0232064630428;0.0228524073473
0.402434682539;0.0216959954952;0.0208273672063
0.404272156944;0.0240420921042;0.0203922898457
0.402219183314;0.024961176206;0.0222818157587
0.400911466932;0.0236328617789;0.020275941669
0.400119786638;0.0248997329276;0.0215197693179
0.400992424945;0.0230452415954;0.0232033288554
0.401262207651;0.0247539227689;0.0201936545473
0.404289907099;0.022281428256;0.0240328901191
0.403296146579;0.0244707547628;0.0275714864784
0.400700562465;0.0223040019488;0.0248442528634
0.401806839027;0.024800542533;0.0250893097121
0.40607620572;0.0206750268182;0.0222053533094

0.402249420375;0.0231537121312;0.0223094903194
